date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:50:26	148/148	---M--	200	added ('OK')	text/plain	date:Thu,%2008%20Oct%202015%2017:37:06%20GMT	http://www.scottsbasslessons.com/robots.txt		(from )
00:50:29	47893/47893	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:50:22%20GMT	http://www.scottsbasslessons.com/	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/index.html	(from )
00:50:31	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2021%20Jul%202017%2017:50:25%20GMT	http://www.scottsbasslessons.com/xmlrpc.php	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/xmlrpc.0.delayed	(from http://www.scottsbasslessons.com/)
00:50:33	743/743	---M-Z	200	added ('OK')	application/rss+xml	etag:%221ae947a93dc532279d91cebd1f3ae697-gzip%22	http://www.scottsbasslessons.com/homepage/feed	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/homepage/feed	(from http://www.scottsbasslessons.com/)
00:50:34	248248/248248	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Apr%202017%2010:11:47%20GMT	http://www.scottsbasslessons.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=1.500.14	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat9bd5.css	(from http://www.scottsbasslessons.com/)
00:50:35	65856/65856	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Apr%202017%2014:39:46%20GMT	http://www.scottsbasslessons.com/wp-content/plugins/thrive-leads/editor-layouts/css/frontend.css?ver=1.95.15	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/plugins/thrive-leads/editor-layouts/css/frontende4ef.css	(from http://www.scottsbasslessons.com/)
00:50:36	54796/54796	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Sep%202016%2009:14:00%20GMT	http://www.scottsbasslessons.com/wp-content/plugins/smart-podcast-player/assets/css/style.css?ver=1.5.4	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/plugins/smart-podcast-player/assets/css/style357c.css	(from http://www.scottsbasslessons.com/)
00:50:37	21984/21984	---MCZ	200	added ('OK')	text/css	etag:W/%22feda974a77ea5783b8be673f142b7c88%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css?ver=4.7.5	C:/Users/LAP11096-local/Desktop/template/lesson/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min66f2.css	(from http://www.scottsbasslessons.com/)
00:50:37	378/378	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Feb%202016%2017:33:32%20GMT	http://www.scottsbasslessons.com/wp-content/themes/sbl/style.css?ver=1.0.6	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/themes/sbl/style0ba6.css	(from http://www.scottsbasslessons.com/)
00:50:38	22165/22165	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202017%2017:50:33%20GMT	http://www.scottsbasslessons.com/wp-content/plugins/s2member/s2member-o.php?ws_plugin__s2member_css=1&qcABC=1&ver=160801-160801-1496409231	C:/Users/LAP11096-local/Desktop/template/lesson/www.scottsbasslessons.com/wp-content/plugins/s2member/s2member-o220f.css	(from http://www.scottsbasslessons.com/)
